City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,Port Alfred,-33.5906,26.891,67.17,66,2,7.0,ZA,2022-04-30 14:40:57
169,Sitka,57.0531,-135.33,37.29,81,0,3.44,US,2022-04-30 14:40:58
170,Leshukonskoye,64.8989,45.7622,32.13,72,100,6.98,RU,2022-04-30 14:40:59
171,Port Blair,11.6667,92.75,86.04,74,40,0.0,IN,2022-04-30 14:40:31
172,Ulkan,57.243,107.3223,43.79,98,100,3.83,RU,2022-04-30 14:40:59
173,Guadalupe Y Calvo,26.1,-106.9667,63.73,13,1,0.67,MX,2022-04-30 14:41:00
174,Constitucion,-35.3333,-72.4167,58.15,44,0,6.17,CL,2022-04-30 14:40:22
175,Kirkuk,35.4681,44.3922,83.32,28,0,3.83,IQ,2022-04-30 14:41:00
176,Puerto Ayora,-0.7393,-90.3518,75.16,84,36,10.2,EC,2022-04-30 14:41:01
177,Rosarito,32.3333,-117.0333,59.95,77,6,2.24,MX,2022-04-30 14:41:01
178,Pacific Grove,36.6177,-121.9166,52.52,92,75,11.01,US,2022-04-30 14:41:02
179,Bulgan,48.8125,103.5347,51.73,30,84,2.06,MN,2022-04-30 14:41:02
180,Saint-Augustin,51.226,-58.6502,35.8,92,100,15.21,CA,2022-04-30 14:41:03
181,Bulawayo,-20.15,28.5833,73.78,31,7,7.34,ZW,2022-04-30 14:38:37
182,Narsaq,60.9167,-46.05,50.22,56,40,4.25,GL,2022-04-30 14:41:05
183,Saldanha,-33.0117,17.9442,68.05,75,40,12.35,ZA,2022-04-30 14:42:06
184,Lavrentiya,65.5833,-171.0,23.45,89,100,10.18,RU,2022-04-30 14:42:07
185,Ahipara,-35.1667,173.1667,57.79,87,4,6.24,NZ,2022-04-30 14:42:08
186,Salinopolis,-0.6136,-47.3561,81.82,77,64,7.36,BR,2022-04-30 14:42:09
187,Hanna,51.6334,-111.9018,42.85,69,32,8.99,CA,2022-04-30 14:39:43
188,Yar-Sale,66.8333,70.8333,18.77,86,66,8.25,RU,2022-04-30 14:42:10
189,Coruripe,-10.1256,-36.1756,81.52,69,94,9.24,BR,2022-04-30 14:42:11
190,Sao Felix Do Xingu,-6.6447,-51.995,82.11,78,77,2.86,BR,2022-04-30 14:42:12
191,Gamba,-2.65,10.0,82.02,70,100,2.68,GA,2022-04-30 14:42:13
192,Ketchikan,55.3422,-131.6461,39.67,87,0,8.05,US,2022-04-30 14:41:11
193,Port Hardy,50.6996,-127.4199,48.38,76,75,14.97,CA,2022-04-30 14:42:15
194,Husavik,66.0449,-17.3389,52.41,49,70,3.11,IS,2022-04-30 14:42:15
195,Fort Nelson,58.8053,-122.7002,27.99,80,20,4.61,CA,2022-04-30 14:42:16
196,Sur,22.5667,59.5289,90.5,50,67,14.34,OM,2022-04-30 14:42:17
197,Xai-Xai,-25.0519,33.6442,72.99,80,12,13.8,MZ,2022-04-30 14:42:18
198,Hovd,48.0056,91.6419,54.41,17,55,0.92,MN,2022-04-30 14:42:18
199,Ouesso,1.6136,16.0517,88.43,47,86,3.4,CG,2022-04-30 14:40:49
200,Tuatapere,-46.1333,167.6833,55.74,79,100,8.48,NZ,2022-04-30 14:42:20
201,Bambous Virieux,-20.3428,57.7575,77.25,78,40,8.05,MU,2022-04-30 14:42:21
202,Asasa,7.1,39.2,64.26,61,59,10.02,ET,2022-04-30 14:42:21
203,Okhotsk,59.3833,143.3,32.65,92,58,3.22,RU,2022-04-30 14:42:21
204,Barrow,71.2906,-156.7887,10.42,92,75,8.05,US,2022-04-30 14:42:22
205,Rawson,-43.3002,-65.1023,55.31,35,88,15.5,AR,2022-04-30 14:42:22
206,Nanortalik,60.1432,-45.2371,39.07,84,83,4.03,GL,2022-04-30 14:41:07
207,Bathsheba,13.2167,-59.5167,84.81,74,40,16.11,BB,2022-04-30 14:42:24
208,Maun,-19.9833,23.4167,84.16,30,20,8.05,BW,2022-04-30 14:40:26
209,Ghanzi,-21.5667,21.7833,71.37,43,93,10.76,BW,2022-04-30 14:42:25
210,Namatanai,-3.6667,152.4333,79.48,79,100,1.81,PG,2022-04-30 14:42:25
211,Abaza,52.655,90.0928,58.89,50,100,4.45,RU,2022-04-30 14:42:26
212,Karratha,-20.7377,116.8463,78.71,44,85,15.68,AU,2022-04-30 14:38:12
213,Mardin,37.3131,40.7436,74.46,34,75,10.36,TR,2022-04-30 14:42:26
214,Hualmay,-11.0964,-77.6139,70.66,76,91,8.01,PE,2022-04-30 14:42:27
215,Chuy,-33.6971,-53.4616,61.36,54,56,3.38,UY,2022-04-30 14:42:28
216,Mareeba,-17.0,145.4333,70.52,93,49,1.43,AU,2022-04-30 14:42:28
217,Port Augusta,-32.5,137.7667,59.07,60,0,6.6,AU,2022-04-30 14:42:29
218,Lewistown,40.5992,-77.5714,59.18,64,0,0.0,US,2022-04-30 14:42:29
219,Naze,28.3667,129.4833,65.32,77,45,7.99,JP,2022-04-30 14:42:30
220,Nemuro,43.3236,145.575,37.0,64,1,9.66,JP,2022-04-30 14:42:30
221,Salinas,36.6777,-121.6555,55.56,82,75,4.61,US,2022-04-30 14:42:28
222,Nikolskoye,59.7035,30.7861,46.29,44,92,7.94,RU,2022-04-30 14:42:31
223,Hofn,64.2539,-15.2082,47.53,75,10,11.59,IS,2022-04-30 14:42:31
224,Ivybridge,50.3904,-3.9191,59.5,67,100,5.66,GB,2022-04-30 14:42:32
225,Coihaique,-45.5752,-72.0662,43.41,87,75,3.44,CL,2022-04-30 14:39:40
226,Sao Luis De Montes Belos,-16.525,-50.3722,89.04,27,3,6.08,BR,2022-04-30 14:42:33
227,Alberton,46.8168,-64.0654,35.73,98,100,20.96,CA,2022-04-30 14:42:33
228,Kiboga,0.9161,31.7742,72.55,68,100,2.26,UG,2022-04-30 14:42:34
229,Grand Gaube,-20.0064,57.6608,77.4,74,33,1.99,MU,2022-04-30 14:43:34
230,Mahebourg,-20.4081,57.7,77.29,78,40,8.05,MU,2022-04-30 14:43:35
231,Ureki,41.9956,41.7786,53.56,88,83,6.2,GE,2022-04-30 14:43:36
232,Klaksvik,62.2266,-6.589,49.12,83,98,8.23,FO,2022-04-30 14:43:34
233,Akyab,20.15,92.9,82.74,77,11,1.95,MM,2022-04-30 14:43:37
234,Najran,17.4924,44.1277,90.25,26,90,7.96,SA,2022-04-30 14:42:13
235,Esso,55.9333,158.7,14.67,91,6,3.65,RU,2022-04-30 14:43:39
236,Tautira,-17.7333,-149.15,79.65,75,19,15.68,PF,2022-04-30 14:40:56
237,Olinda,-8.0089,-34.8553,82.13,65,75,9.22,BR,2022-04-30 14:43:40
238,Leh,34.1667,77.5833,45.81,59,82,3.56,IN,2022-04-30 14:43:41
239,Verkhoyansk,67.5447,133.385,10.56,90,10,5.1,RU,2022-04-30 14:43:41
240,Morondava,-20.2833,44.2833,78.15,65,0,9.57,MG,2022-04-30 14:38:43
241,Halifax,44.6453,-63.5724,42.69,91,100,10.36,CA,2022-04-30 14:41:50
242,Sao Filipe,14.8961,-24.4956,75.24,67,94,11.65,CV,2022-04-30 14:43:42
243,Jibuti,11.5,42.5,84.76,47,44,11.92,DJ,2022-04-30 14:43:42
244,Chipinge,-20.1883,32.6236,66.33,65,0,2.46,ZW,2022-04-30 14:43:43
245,Korla,41.7597,86.1469,64.63,24,0,6.78,CN,2022-04-30 14:40:57
246,Lagoa,39.05,-27.9833,61.16,85,3,12.8,PT,2022-04-30 14:43:43
247,Usinsk,65.9939,57.5281,25.88,79,24,11.01,RU,2022-04-30 14:43:44
248,Bukama,-9.2,25.85,82.62,69,40,2.64,CD,2022-04-30 14:43:44
249,Lebu,-37.6167,-73.65,52.7,60,0,12.55,CL,2022-04-30 14:43:45
250,Bridgend,51.5058,-3.5772,60.49,52,100,5.99,GB,2022-04-30 14:43:45
251,Anadyr,64.75,177.4833,30.7,80,40,4.47,RU,2022-04-30 14:43:45
252,Vicksburg,32.3526,-90.8779,73.63,76,0,11.5,US,2022-04-30 14:43:46
253,Adrar,20.5022,-10.0711,94.37,7,0,7.11,MR,2022-04-30 14:43:45
254,Ambon,-3.6954,128.1814,82.62,76,86,5.57,ID,2022-04-30 14:43:47
255,Kodinsk,58.6881,99.1844,44.44,99,96,1.7,RU,2022-04-30 14:43:47
