City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,182,Pisco,-13.7,-76.2167,64.02,88,83,3.06,PE,2022-05-02 03:01:59
183,183,Madison,34.7334,-86.5667,68.4,80,40,7.0,US,2022-05-02 03:00:54
184,184,Ponta Do Sol,32.6667,-17.1,64.0,78,0,4.41,PT,2022-05-02 03:01:59
185,185,Bitung,1.4451,125.1824,92.25,72,36,5.99,ID,2022-05-02 03:01:59
186,186,Nikolskoye,59.7035,30.7861,39.79,92,67,5.77,RU,2022-05-02 03:00:34
187,187,Saint-Philippe,-21.3585,55.7679,72.99,80,0,2.82,RE,2022-05-02 03:02:00
188,188,Oxelosund,58.6706,17.1015,34.18,86,0,2.3,SE,2022-05-02 03:02:01
189,189,La Paz Centro,12.34,-86.6753,81.9,74,100,2.35,NI,2022-05-02 03:02:01
190,190,Ranong,9.9658,98.6348,83.62,78,100,6.04,TH,2022-05-02 03:02:01
191,191,Lorengau,-2.0226,147.2712,84.47,71,100,4.79,PG,2022-05-02 03:02:02
192,192,Mindelo,16.8901,-24.9804,69.53,80,1,17.18,CV,2022-05-02 03:02:02
193,193,Chuy,-33.6971,-53.4616,52.39,80,33,5.88,UY,2022-05-02 03:02:03
194,194,Arraial Do Cabo,-22.9661,-42.0278,74.86,79,0,8.99,BR,2022-05-02 03:02:03
195,195,Srandakan,-7.9386,110.2506,87.13,67,96,5.64,ID,2022-05-02 03:02:04
196,196,Coquimbo,-29.9533,-71.3436,58.5,76,56,5.35,CL,2022-05-02 03:02:04
197,197,Kirkkonummi,60.1238,24.4385,40.1,87,70,7.14,FI,2022-05-02 03:02:05
198,198,Camalu,30.85,-116.0667,58.32,80,0,8.72,MX,2022-05-02 03:02:05
199,199,Gaoual,11.75,-13.2,83.98,53,91,6.11,GN,2022-05-02 03:02:05
200,200,Ucluelet,48.9329,-125.5528,50.09,85,100,7.94,CA,2022-05-02 03:00:04
201,201,Bandarbeyla,9.4942,50.8122,82.99,79,32,9.71,SO,2022-05-02 03:02:06
202,202,Souillac,-20.5167,57.5167,74.43,87,1,4.9,MU,2022-05-02 03:01:33
203,203,Marsa Matruh,31.3525,27.2453,67.15,59,100,21.92,EG,2022-05-02 03:02:06
204,204,Batagay,67.6333,134.6333,35.53,80,98,6.31,RU,2022-05-02 03:02:07
205,205,Touros,-5.1989,-35.4608,77.34,88,13,9.37,BR,2022-05-02 03:02:07
206,206,Orcopampa,-15.2661,-72.3417,48.52,56,96,1.43,PE,2022-05-02 03:02:08
207,207,Daru,-9.0763,143.2092,82.22,84,63,12.06,PG,2022-05-02 03:02:08
208,208,Ozernovskiy,51.5,156.5167,34.52,94,100,6.71,RU,2022-05-02 03:02:09
209,209,Husavik,66.0449,-17.3389,27.19,75,100,5.01,IS,2022-05-02 03:02:09
210,210,Robinson,31.4677,-97.1147,79.38,81,0,4.61,US,2022-05-02 03:02:09
211,211,Vieux-Habitants,16.0589,-61.7659,76.57,78,100,10.83,GP,2022-05-02 03:02:10
212,212,Faanui,-16.4833,-151.75,81.05,73,99,9.35,PF,2022-05-02 03:02:10
213,213,Namatanai,-3.6667,152.4333,85.5,67,16,6.8,PG,2022-05-02 03:02:11
214,214,Ketchikan,55.3422,-131.6461,44.58,93,100,6.44,US,2022-05-02 03:00:38
215,215,Newport,51.5877,-2.9984,51.26,92,100,2.95,GB,2022-05-02 03:02:03
216,216,Berlevag,70.8578,29.0864,26.6,82,99,13.4,NO,2022-05-02 03:02:11
217,217,Carahue,-38.7,-73.1667,47.28,98,38,2.53,CL,2022-05-02 03:02:12
218,218,Aklavik,68.2191,-135.0107,35.96,93,100,12.21,CA,2022-05-02 03:02:12
219,219,Bayonne,43.3333,-1.4167,56.03,82,100,9.22,FR,2022-05-02 02:57:27
220,220,Fortuna,40.5982,-124.1573,53.1,85,0,6.91,US,2022-05-02 03:02:12
221,221,Awjilah,29.1081,21.2869,72.72,48,100,15.7,LY,2022-05-02 03:02:13
222,222,Isla Mujeres,21.2311,-86.731,80.17,75,0,14.09,MX,2022-05-02 03:01:30
223,223,Pochutla,15.7432,-96.4661,81.82,64,100,4.21,MX,2022-05-02 03:02:13
224,224,Banda Aceh,5.5577,95.3222,85.89,68,97,10.76,ID,2022-05-02 03:02:14
225,225,Bairiki,1.3292,172.9752,80.73,81,90,12.44,KI,2022-05-02 03:02:14
226,226,Donskoye,45.4552,41.9741,46.53,95,100,16.73,RU,2022-05-02 03:02:15
227,227,Oktyabrskiy,54.4815,53.471,38.91,51,5,4.79,RU,2022-05-02 03:03:15
228,228,Beterou,9.1992,2.2586,76.39,79,96,4.56,BJ,2022-05-02 03:03:16
229,229,Pangody,65.85,74.4859,24.21,92,100,4.36,RU,2022-05-02 03:03:16
230,230,Ko Samui,9.5357,99.9357,84.51,73,100,10.11,TH,2022-05-02 03:03:16
231,231,Half Moon Bay,37.4636,-122.4286,62.51,76,20,25.32,US,2022-05-02 03:03:17
232,232,Katobu,-4.9408,122.5276,89.24,50,34,7.85,ID,2022-05-02 03:03:17
233,233,Iskateley,67.6803,53.1512,19.08,95,100,9.73,RU,2022-05-02 03:03:18
234,234,Lavrentiya,65.5833,-171.0,17.33,78,9,10.47,RU,2022-05-02 03:03:18
235,235,Carnarvon,-24.8667,113.6333,81.32,44,1,12.24,AU,2022-05-02 03:03:18
236,236,Vardo,70.3705,31.1107,28.44,77,100,11.83,NO,2022-05-02 03:03:19
237,237,Provideniya,64.3833,-173.3,28.33,51,15,12.53,RU,2022-05-02 03:03:19
238,238,Cartagena,10.3997,-75.5144,81.95,84,99,6.76,CO,2022-05-02 03:03:20
239,239,Talcahuano,-36.7167,-73.1167,50.68,83,0,7.18,CL,2022-05-02 03:03:20
240,240,Cap Malheureux,-19.9842,57.6142,74.46,77,4,1.99,MU,2022-05-02 03:03:20
241,241,Harper,4.375,-7.7169,80.04,83,39,5.03,LR,2022-05-02 03:03:21
242,242,Nanortalik,60.1432,-45.2371,36.43,85,100,2.04,GL,2022-05-02 03:03:21
243,243,Irbeyskoye,55.6428,95.4522,56.55,68,100,8.1,RU,2022-05-02 03:03:22
244,244,Kahului,20.8947,-156.47,73.85,92,97,7.0,US,2022-05-02 03:03:22
245,245,Bowmore,34.9421,-79.3031,67.89,92,100,1.99,US,2022-05-02 03:03:22
246,246,Labuhan,-6.8844,112.2051,85.35,75,92,7.85,ID,2022-05-02 02:58:34
247,247,Coihaique,-45.5752,-72.0662,41.97,99,100,3.67,CL,2022-05-02 03:02:00
248,248,Pundaguitan,6.3711,126.1689,81.36,78,99,5.84,PH,2022-05-02 03:03:23
249,249,Wucheng,29.6008,118.175,69.94,47,88,2.64,CN,2022-05-02 03:03:23
250,250,Puerto Escondido,15.85,-97.0667,82.63,70,88,6.24,MX,2022-05-02 03:03:24
251,251,Nishihara,26.1842,127.7558,65.68,82,75,11.5,JP,2022-05-02 03:03:24
252,252,Tiarei,-17.5333,-149.3333,82.42,73,96,5.12,PF,2022-05-02 03:03:25
253,253,Bengkulu,-3.8004,102.2655,84.15,64,100,3.02,ID,2022-05-02 03:03:25
254,254,Broken Hill,-31.95,141.4333,64.54,44,0,3.78,AU,2022-05-02 03:03:26
255,255,Taksimo,56.3444,114.8794,41.11,47,88,11.23,RU,2022-05-02 03:03:26
256,256,Gamba,-2.65,10.0,76.33,92,100,5.82,GA,2022-05-02 03:03:26
257,257,Yuzhne,46.6221,31.1013,50.16,71,34,5.12,UA,2022-05-02 03:03:27
258,258,Okha,53.5739,142.9478,33.96,95,100,7.34,RU,2022-05-02 03:03:27
259,259,Kangaatsiaq,68.3065,-53.4641,14.47,92,74,5.64,GL,2022-05-02 03:03:28
260,260,Manggar,-2.8833,108.2667,86.56,69,100,8.99,ID,2022-05-02 03:03:28
261,261,Areosa,41.7178,-8.8571,54.45,87,80,6.17,PT,2022-05-02 03:03:28
262,262,Sao Jose Da Coroa Grande,-8.8978,-35.1478,76.87,86,31,5.32,BR,2022-05-02 03:03:29
263,263,Longyearbyen,78.2186,15.6401,10.24,72,75,4.61,SJ,2022-05-02 03:02:50
264,264,Saskylakh,71.9167,114.0833,19.45,88,36,8.12,RU,2022-05-02 03:03:29
265,265,Sur,22.5667,59.5289,84.99,48,0,0.38,OM,2022-05-02 03:03:30
266,266,Fengxian,34.7039,116.5872,80.35,19,0,3.85,CN,2022-05-02 03:03:30
267,267,Kaitangata,-46.2817,169.8464,63.12,57,30,3.29,NZ,2022-05-02 03:03:26
268,268,Trofors,65.5333,13.4063,34.54,94,100,22.12,NO,2022-05-02 03:03:31
269,269,Mamallapuram,12.6264,80.1722,86.05,71,100,5.35,IN,2022-05-02 03:03:31
270,270,Ishigaki,24.3448,124.1572,68.04,82,100,25.75,JP,2022-05-02 03:03:32
271,271,Karsun,54.1994,46.9827,37.49,65,76,4.85,RU,2022-05-02 03:03:32
